id,categoria,subcategoria,nombre,municipio,zona,direccion,latitud,longitud,telefono,sitio_web,horario,nivel_precio,precio_referencial,google_maps_url,place_id,rnt,descripcion,foto_url,estado,notas
TEQ-018,Hospedaje,Hotel campestre,Hotel Manantial – Cachipay,Cachipay,Provincia del Tequendama,"Vía Cachipay km 6, Peña Negra",4.7072588,-74.4700796,+57 311 7039801,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Manantial%20–%20Cachipay&query_place_id=ChIJp9_kBABvP44RyZua8bum7kw,ChIJp9_kBABvP44RyZua8bum7kw,,,,Pendiente,Muy bien valorado; también para eventos.
TEQ-019,Hospedaje,Finca turística,Finca El Encanto – Mesitas del Colegio,El Colegio,Provincia del Tequendama,Mesitas del Colegio,4.5786684,-74.4550522,+57 314 2367605,,Todos los días 7:00–23:00,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20El%20Encanto%20–%20Mesitas%20del%20Colegio&query_place_id=ChIJZ9OYsrptP44RGDWbKJU467s,ChIJZ9OYsrptP44RGDWbKJU467s,,,,Pendiente,"Reseñas negativas sobre reembolsos, aseo y cobros; evaluar antes de publicar."
TEQ-020,Hospedaje,Finca turística,Finca Hotel Campestre Villa Alejandra,El Colegio,Provincia del Tequendama,Mesitas del Colegio (junto a Los Caimos),4.5712249,-74.4547565,+57 319 6854036,,Recepción 24 h,,"~$180.000 fin de semana (reseña, sin fecha)",https://www.google.com/maps/search/?api=1&query=Finca%20Hotel%20Campestre%20Villa%20Alejandra&query_place_id=ChIJS8FA0pNtP44Rm09n3i3f_W8,ChIJS8FA0pNtP44Rm09n3i3f_W8,,,,Pendiente,"Cascada natural; reseñas mixtas sobre aseo, comida y aforo."
TEQ-021,Hospedaje,Hotel,Hotel Trópico Real Mesitas,El Colegio,Provincia del Tequendama,"Cl. 5A, vía principal El Colegio #3D-53, Mesitas",4.5803154,-74.4421331,+57 320 3394879,https://www.facebook.com/HotelTropicoReal,Recepción 24 h,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Trópico%20Real%20Mesitas&query_place_id=ChIJCSvMxj1tP44R6RX1Ealsky0,ChIJCSvMxj1tP44R6RX1Ealsky0,,,,Pendiente,"Pequeño, solo 3 parqueaderos."
TEQ-022,Hospedaje,Centro vacacional,Hotel Vacation Center La Primavera,El Colegio,Provincia del Tequendama,"Cl. 2 #3A-1, Mesitas del Colegio",4.5783593,-74.444387,+57 313 2500728,http://hotelycentrovacacionallaprimavera.com/,Lun–Vie 8:00–17:00; Sáb–Dom 8:00–18:00,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Vacation%20Center%20La%20Primavera&query_place_id=ChIJUdRlBRltP44RvHgCHFgt4LM,ChIJUdRlBRltP44RvHgCHFgt4LM,,,,Pendiente,Horario corresponde al establecimiento/spa; confirmar recepción.
TEQ-023,Hospedaje,Camping,Atrapasueños Camping & Piscina,La Mesa,Provincia del Tequendama,"Vía rural, La Mesa",4.6056081,-74.4663831,+57 311 2942178,,Todos los días 8:00–22:00,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Atrapasueños%20Camping%20%26%20Piscina&query_place_id=ChIJoSHljeJtP44Rb8oitq1OHu8,ChIJoSHljeJtP44Rb8oitq1OHu8,,,,Pendiente,Camping familiar con piscina; el acceso sin pavimentar se complica tras lluvias.
TEQ-024,Hospedaje,Glamping,Eco-glamping Sol de Luna,La Mesa,Provincia del Tequendama,"San Joaquín, La Mesa",4.6597657,-74.5394926,+57 314 8636788,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Eco-glamping%20Sol%20de%20Luna&query_place_id=ChIJey4n-LlpP44RCAZSo9Fe8FE,ChIJey4n-LlpP44RCAZSo9Fe8FE,,,,Pendiente,Domos con jacuzzi; reseñas piden mejorar aseo y ubicación de la ducha.
TEQ-025,Hospedaje,Finca turística,Finca Hotel Paraíso Terrenal,La Mesa,Provincia del Tequendama,"Cl. 4 #2-70, vereda La Esperanza, La Mesa",4.6982744,-74.433121,+57 320 2350624,,Recepción 24 h,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Hotel%20Paraíso%20Terrenal&query_place_id=ChIJRe7GQ5RvP44R86dpkjklRFQ,ChIJRe7GQ5RvP44R86dpkjklRFQ,,,,Pendiente,"Cascadas, piscinas y terapias de barro; caminata a cascadas."
TEQ-026,Hospedaje,Finca turística,Finca Turística Hualcala,La Mesa,Provincia del Tequendama,"Vereda Payacal, La Mesa",4.6709456,-74.4068331,+57 316 5329991,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Turística%20Hualcala&query_place_id=ChIJQTIpKK9vP44R03a0PsvdxXg,ChIJQTIpKK9vP44R03a0PsvdxXg,,,,Pendiente,Clima templado; piscina fría según reseñas.
TEQ-027,Hospedaje,Finca turística,Finca Turística Villa Karen,La Mesa,Provincia del Tequendama,"Vereda Lagunas, La Mesa",4.6120153,-74.4610039,+57 305 7943437,,Lun cerrado; Mar–Dom 10:00–17:00,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Turística%20Villa%20Karen&query_place_id=ChIJu37UoONtP44RoJEZx8Xht4E,ChIJu37UoONtP44RoJEZx8Xht4E,,,,Pendiente,Piscina con jacuzzi y canchas; reseñas mencionan restricciones de ingreso y desayuno costoso.
TEQ-028,Hospedaje,Glamping,Glamping Realismo Mágico,La Mesa,Provincia del Tequendama,"Finca Catalina, La Esperanza–El Ocaso, La Mesa",4.6974344,-74.4302808,+57 321 3736086,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Glamping%20Realismo%20Mágico&query_place_id=ChIJDQ7CRtxvP44R-8FqXefoPW0,ChIJDQ7CRtxvP44R-8FqXefoPW0,,,,Pendiente,Cerca de Salto de las Monjas y Cueva del Mohan; aviturismo.
TEQ-029,Hospedaje,Hotel,Hotel Aguablanca,La Mesa,Provincia del Tequendama,"Entrada Barrio Comfenalco, La Mesa",4.6239356,-74.4762845,+57 311 4945856,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Aguablanca&query_place_id=ChIJac9dQz5sP44RUt6mUcOkoU8,ChIJac9dQz5sP44RUt6mUcOkoU8,,,,Pendiente,Opción económica con piscina; sin aire acondicionado según reseñas.
TEQ-030,Hospedaje,Hotel,Hotel El Mirador Los Nevados,La Mesa,Provincia del Tequendama,"Cra. 21 #9-13, La Mesa",4.6332716,-74.4637344,+57 320 3561384,,Recepción 24 h,,"~$70.000 por noche en hab. sencilla (reseña, sin fecha)",https://www.google.com/maps/search/?api=1&query=Hotel%20El%20Mirador%20Los%20Nevados&query_place_id=ChIJn3n_fChsP44RnedhbOmPac4,ChIJn3n_fChsP44RnedhbOmPac4,,,,Pendiente,"Reseñas mixtas (limpieza, ruido); evaluar antes de publicar."
TEQ-031,Hospedaje,Hotel boutique,KAU Hotel,La Mesa,Provincia del Tequendama,"Cl. 4 #15-25, La Mesa",4.6306028,-74.4580535,+57 601 9504649,https://www.kauhotel.com/,Recepción 24 h,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=KAU%20Hotel&query_place_id=ChIJ2UDlzf9tP44RcfxOqqsF-v8,ChIJ2UDlzf9tP44RcfxOqqsF-v8,,,,Pendiente,Restaurante Los Almendros dentro del hotel; también eventos.
TEQ-032,Hospedaje,Glamping,La Julita Glamping,La Mesa,Provincia del Tequendama,"La Mesa, Cundinamarca",4.6989619,-74.4110201,+57 318 0399911,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=La%20Julita%20Glamping&query_place_id=ChIJx_iRj31vP44Rj0ZOlQwXfBg,ChIJx_iRj31vP44Rj0ZOlQwXfBg,,,,Pendiente,"Domos, spa y jacuzzi; muy popular (cientos de reseñas)."
TEQ-033,Hospedaje,Finca turística,Mulata Retreat,La Mesa,Provincia del Tequendama,"San Joaquín, La Mesa",4.656431,-74.5117749,+57 350 6370000,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Mulata%20Retreat&query_place_id=ChIJP7DkkhdpP44R39_l0-ZT-wk,ChIJP7DkkhdpP44R39_l0-ZT-wk,,,,Pendiente,Eco-hotel junto a un lago; baños exteriores por concepto; jacuzzi de agua fría según reseñas.
TEQ-034,Hospedaje,Camping,Zona de Camping – Altos de la Reserva,La Mesa,Provincia del Tequendama,"Vía Payacal, La Mesa",4.656631,-74.4167735,+57 312 3020377,,Lun–Mié 9:00–17:00; Jue–Sáb 9:00–21:00; Dom 9:00–18:00,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Zona%20de%20Camping%20–%20Altos%20de%20la%20Reserva&query_place_id=ChIJCW80hplvP44R81aNoXGoXjc,ChIJCW80hplvP44R81aNoXGoXjc,,,,Pendiente,Reserva con fauna; buen sitio de aviturismo; la vía es difícil tras lluvias.
TEQ-035,Hospedaje,Finca turística,Finca Agroturística El Sinaí,Quipile,Provincia del Tequendama,"Vereda Sinaí Alto, Quipile",4.7363591,-74.5546609,+57 314 2176420,,Abierto todo el día (según Google),,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Agroturística%20El%20Sinaí&query_place_id=ChIJLxyhVPlnP44RLcxRFwxR6vI,ChIJLxyhVPlnP44RLcxRFwxR6vI,,,,Pendiente,Tour de café; pocas reseñas.
TEQ-036,Hospedaje,Cabañas,Paraíso de la Montaña,Quipile,Provincia del Tequendama,"Vereda Berlín, La Sierra, Quipile",4.7484813,-74.5548073,+57 313 8066454,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Paraíso%20de%20la%20Montaña&query_place_id=ChIJMeQ6jYpnP44RZxGDskSR_M0,ChIJMeQ6jYpnP44RZxGDskSR_M0,,,,Pendiente,Cabañas y restaurante con estufa de leña; eventos.
TEQ-037,Hospedaje,Hotel & spa,Anne Spa Hotel,San Antonio del Tequendama,Provincia del Tequendama,"El Colegio–El Charquito, San Antonio del Tequendama",4.5959164,-74.3811384,,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Anne%20Spa%20Hotel&query_place_id=ChIJ-6jJzl9yP44R2WUAcWoWRl0,ChIJ-6jJzl9yP44R2WUAcWoWRl0,,,,Pendiente,Reseñas mencionan problemas de aislamiento acústico y de servicios; verificar.
TEQ-038,Hospedaje,Club / hotel,Club Social y Deportivo Villa Loren,San Antonio del Tequendama,Provincia del Tequendama,"Km 21 vía Bogotá–El Colegio, El Charquito",4.5958429,-74.3650433,+57 316 6970898,,Lun–Jue 8:00–20:00; Vie–Dom 8:00–22:00,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Club%20Social%20y%20Deportivo%20Villa%20Loren&query_place_id=ChIJy0gJ5mRuP44RRzanZxwldYU,ChIJy0gJ5mRuP44RRzanZxwldYU,,,,Pendiente,"Piscinas, pesca y juegos."
TEQ-039,Hospedaje,Camping,Ecoparque ECOCENTER,San Antonio del Tequendama,Provincia del Tequendama,"El Colegio – El Charquito, San Antonio del Tequendama",4.5872617,-74.3369247,+57 311 2483263,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Ecoparque%20ECOCENTER&query_place_id=ChIJBRbTmQxzP44RjwKRyVIuky4,ChIJBRbTmQxzP44RjwKRyVIuky4,,,,Pendiente,Parque con dos zonas de camping y zona de asados; reseñas indican pocos baños.
TEQ-040,Hospedaje,Glamping,Entre Mangos Glamping,San Antonio del Tequendama,Provincia del Tequendama,San Antonio del Tequendama,4.6251935,-74.3604979,+57 319 6160103,,Lun–Mié cerrado; Jue–Dom abierto 24 h,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Entre%20Mangos%20Glamping&query_place_id=ChIJcVXjLnlzP44Ry5kmzJ7f4eY,ChIJcVXjLnlzP44Ry5kmzJ7f4eY,,,,Pendiente,Solo opera jueves a domingo según Google.
TEQ-041,Hospedaje,Finca turística,Finca Santarem,San Antonio del Tequendama,Provincia del Tequendama,"Vereda Quebrada Grande, San Antonio del Tequendama",4.6150009,-74.3678781,+57 319 2497753,,Abierto 24 h (según Google),,"Alojamiento + 3 comidas ~$50.000 (reseña de 2021, desactualizado)",https://www.google.com/maps/search/?api=1&query=Finca%20Santarem&query_place_id=ChIJKbrA5m5zP44RnbrNWYQKePI,ChIJKbrA5m5zP44RnbrNWYQKePI,,,,Pendiente,Piscina grande; reseñas indican desgaste en instalaciones.
TEQ-042,Hospedaje,Glamping,Glamping La Cabana,San Antonio del Tequendama,Provincia del Tequendama,"Vereda El Cajón, San Antonio del Tequendama",4.62893,-74.3339873,,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Glamping%20La%20Cabana&query_place_id=ChIJl3kc_t5zP44RecSR1s1_lJ0,ChIJl3kc_t5zP44RecSR1s1_lJ0,,,,Pendiente,Reseñas advierten de suplantación del nombre y publicidad engañosa; confirmar canal oficial de reservas.
TEQ-043,Hospedaje,Glamping,NaturalMENTE Glamping,San Antonio del Tequendama,Provincia del Tequendama,"Vía La Honda, San Antonio del Tequendama",4.6252359,-74.3596708,,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=NaturalMENTE%20Glamping&query_place_id=ChIJW3wSdUFzP44RVADNskCOuHs,ChIJW3wSdUFzP44RVADNskCOuHs,,,,Pendiente,Sin teléfono en Google; verificar.
TEQ-044,Hospedaje,Glamping,Entre Rocas Glamping Tena,Tena,Provincia del Tequendama,"Tena, Cundinamarca (código JJJ4+95)",4.630657,-74.395248,+57 300 3909620,,Atención 9:00–21:00,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Entre%20Rocas%20Glamping%20Tena&query_place_id=ChIJSbMjlzpzP44RE64EgaYk-9A,ChIJSbMjlzpzP44RE64EgaYk-9A,,,,Pendiente,Jacuzzi y proyector en cabañas según reseñas; muy bien calificado.
TEQ-045,Hospedaje,Camping,Finca El Palmar (camping),Tena,Provincia del Tequendama,"Vereda La Laguneta, Tena",4.6715202,-74.3645209,+57 304 2703809,,Lun y Jue–Sáb 6:30–17:30; Mar–Mié cerrado; Dom 6:00–17:30,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20El%20Palmar%20%28camping%29&query_place_id=ChIJf_1HAwBxP44R7cVT5kO65VE,ChIJf_1HAwBxP44R7cVT5kO65VE,,,,Pendiente,Camping en ruta del Camino Real de Tena; comida típica y asados.
TEQ-046,Hospedaje,Finca turística,Finca Turística Villa María,Tena,Provincia del Tequendama,"Vereda El Rosario, Tena",4.6574752,-74.4068599,+57 305 7067186,,Abierto 24 h (según Google),,"Piscina ~$8.000; alojamiento ~$35.000 (reseña, sin fecha)",https://www.google.com/maps/search/?api=1&query=Finca%20Turística%20Villa%20María&query_place_id=ChIJwRBpkyBuP44RfHksnX-Fbhk,ChIJwRBpkyBuP44RfHksnX-Fbhk,,,,Pendiente,"Piscina, bolos, tejo y zona de asados."
TEQ-047,Hospedaje,Glamping,Glamping Villa Pedregal,Tena,Provincia del Tequendama,"Cl. 2A #2-67, La Gran Vía, Tena",4.6484055,-74.4097508,+57 301 4480826,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Glamping%20Villa%20Pedregal&query_place_id=ChIJEcSVokhvP44RlHTX_3Db224,ChIJEcSVokhvP44RlHTX_3Db224,,,,Pendiente,"Pocas reseñas, todas positivas."
TEQ-048,Hospedaje,Glamping,Oasis Glamping Vía La Mesa,Tena,Provincia del Tequendama,"Tena, Cundinamarca",4.6387193,-74.3935206,+57 350 2828282,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Oasis%20Glamping%20Vía%20La%20Mesa&query_place_id=ChIJ937UIllxP44RRztY7mWDFiE,ChIJ937UIllxP44RRztY7mWDFiE,,,,Pendiente,Domos y masajes al aire libre; muy bien valorado.
TEQ-049,Hospedaje,Finca turística,Finca Vacacional Agua Viva,Viotá,Provincia del Tequendama,"Vereda Las Palmas, Viotá",4.4381505,-74.4770043,+57 311 2114774,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Vacacional%20Agua%20Viva&query_place_id=ChIJN8yrDaURP44RRme935AOANg,ChIJN8yrDaURP44RRme935AOANg,,,,Pendiente,Muy bien valorada; vía destapada y quebrada dentro de la finca.
TEQ-050,Hospedaje,Finca turística,Finca Viotá,Viotá,Provincia del Tequendama,"Viotá, Cundinamarca",4.4024501,-74.515591,+57 315 3156219,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Viotá&query_place_id=ChIJo1avIdEXP44RutKBw_LOlSU,ChIJo1avIdEXP44RutKBw_LOlSU,,,,Pendiente,Pocas reseñas; verificar oferta real.
TEQ-051,Hospedaje,Glamping,Glamping El Mirador de la Montaña,Viotá,Provincia del Tequendama,"Zona rural, Viotá",4.3849658,-74.4314623,+57 313 4763172,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Glamping%20El%20Mirador%20de%20la%20Montaña&query_place_id=ChIJeQ1dgMAbP44RQ5-jfYWFTFQ,ChIJeQ1dgMAbP44RQ5-jfYWFTFQ,,,,Pendiente,Incluye paseo a caballo según reseñas.
TEQ-052,Hospedaje,Glamping,Glamping Villa Cruz,Viotá,Provincia del Tequendama,"Viotá, Cundinamarca",4.4279813,-74.5181407,+57 301 5326848,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Glamping%20Villa%20Cruz&query_place_id=ChIJs8V0yWEXP44Rr5r6N1qe8AE,ChIJs8V0yWEXP44Rr5r6N1qe8AE,,,,Pendiente,Enfocado en parejas; reseñas reportan fallas de calefacción del jacuzzi.
TEQ-053,Hospedaje,Hacienda cafetera,Hacienda Cafetera Ceylán,Viotá,Provincia del Tequendama,"Vereda Ceylán, Viotá",4.4455274,-74.4778629,+57 310 7115625,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hacienda%20Cafetera%20Ceylán&query_place_id=ChIJkZi6IXURP44R0oO4JlvNTGU,ChIJkZi6IXURP44R0oO4JlvNTGU,,,,Pendiente,Hacienda de más de 100 años con alojamiento y tour de café.
TEQ-054,Hospedaje,Hospedaje campestre,Hotel Campestre La Toscana,Viotá,Provincia del Tequendama,"Vereda Las Palmas, Viotá",4.4366994,-74.5178887,+57 321 4265123,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Campestre%20La%20Toscana&query_place_id=ChIJ5Ty_xqkXP44REGk2RDlhEF8,ChIJ5Ty_xqkXP44REGk2RDlhEF8,,,,Pendiente,Reseñas muy dispares en limpieza; verificar.
TEQ-055,Hospedaje,Hotel,Hotel Viotá Plaza,Viotá,Provincia del Tequendama,"Cl. 19 #10-25, Viotá",4.4388918,-74.5217568,+57 313 3494971,,Recepción 24 h,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Viotá%20Plaza&query_place_id=ChIJQdZlwd8WP44RXcRDjqjGbg4,ChIJQdZlwd8WP44RXcRDjqjGbg4,,,,Pendiente,Frente al parque principal; reseñas mencionan deterioro y cobro extra de piscina.
